Facility_Name,lat,long,level_0,State,City,Primary Restriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,accept_books,Number_of_books_accepted
Florida State Prison,30.059025,-82.185437,292,Florida,Raiford,    Use PO Box 800,,,no gang or black power ,,    use po box 800,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
New River Correctional ,33.911883,-112.103779,294,Florida,Raiford,"USE: PO BOX 900, Zip 32083",,Composition Books Not Permitted,,,"use: po box 900, zip 32083",9999,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No limit on books,No limit on books
Union Correctional ,30.066731,-82.192154,295,Florida,Raiford,USE: PO BOX 1000 & Zip Code 32083,,No Sex,,,use: po box 1000 & zip code 32083,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Hillsborough Correctional ,27.90898,-82.315814,296,Florida,Riverview,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
St John County Detention Center,38.3029,-76.62773,297,Florida,St Augustine,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Baker Correctional ,30.3703,-83.1592,298,Florida,Sanderson,,,Max 1 composition book-1,Update 12-2-21-max 1 composition book-mike,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No limit on books,No limit on books
Smyrna,33.870716,-84.517088,300,Florida,Smyrna,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Apalachee Correctional ,30.708077,-84.877097,301,Florida,Sneads,,,NO Foreign Language except Spanish,,,,9999,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No limit on books,No limit on books
South Bay Correctional ,26.6577,-80.7188,302,Florida,South Bay,,,,,,,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Accept limited books,4
Starke,41.302375,-86.601254,303,Florida,Starke,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Wilcox State Prison,31.985236,-83.30064,304,Georgia,Abbeville,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Wheeler Correctional ,32.150104,-82.794841,305,Georgia,Alamo,"GED books require
 Prior Approval",,,,,"ged books require
 prior approval",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,3
Dougherty County Jail,31.579702,-84.152477,306,Georgia,Albany,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Arrendale State Prison,34.45069,-83.59502,307,Georgia,Alto,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Sumter County CI,32.072379,-84.228359,308,Georgia,Americus,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Fulton County Jail,33.778356,-84.423503,309,Georgia,Atlanta,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Charles Webster Detention Ctr,38.523794,-76.984987,312,Georgia,Augusta,,"no computer generated papers, books, articles",,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Phillips State Prison,34.0938,-83.91006,313,Georgia,Buford,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Dodge State Prison,32.394374,-83.167728,314,Georgia,Chester,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Mitchell CO CI,31.230712,-84.20773,315,Georgia,Camilla,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jack T. Rutledge State Prison,32.495767,-84.86653,316,Georgia,Columbus,,no coloring books,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Washington State Prison,32.988284,-82.594612,317,Georgia,Davisboro,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Dekalb County Jail,33.775674,-84.244435,318,Georgia,Decatur,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Putnam County Jail,33.30584,-83.39081,319,Georgia,Eatonton,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
D. Ray James Prison,30.874232,-81.979337,320,Georgia,Folkston,,,,,,,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,8
Ice Processing Center,39.760917,-104.849339,321,Georgia,Folkston,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Burrus Correctional,33.055611,-83.975788,322,Georgia,Forsyth,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Coastal Correctional,32.137513,-81.186485,323,Georgia,Garden City,Prior Approval unless from Amazon ,,No Photocopies,,,prior approval unless from amazon ,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Smith State Prison Glenville,31.973066,-81.915752,324,Georgia,Glennville,,"mark package ""Book Store""",,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Spalding Co. CI,28.08419,-81.99508,325,Georgia,Griffin,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Augusta State Medical Prison,33.433639,-82.189092,326,Georgia,Grovetown,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Augusta State Medical Prison,33.433639,-82.189092,364,Georgia,Valdosta,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Augusta State Medical Prison,33.433639,-82.189092,326,Georgia,Grovetown,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Augusta State Medical Prison,33.433639,-82.189092,364,Georgia,Valdosta,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Harris County Prison,32.76439,-84.86408,327,Georgia,Hamilton,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Baldwin,30.555224,-87.722616,328,Georgia,Hardwick,,,,"No sex, no violence, no murder",,,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,3
Whitworth Women's Facility,53.65601,-2.1771,329,Georgia,Hartwell,"Prior approval, if letter does not state mail room approval has been granted to receive a book the letter is DNS",,,No GED's,"No Sex, No Violence","prior approval, if letter does not state mail room approval has been granted to receive a book the letter is dns",9999,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,No limit on books,No limit on books
Pulaski,32.28294,-83.469062,330,Georgia,Hawkinsville,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Telfair State Prison,32.088288,-82.909206,331,Georgia,Helena,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
GDCP,33.221282,-84.060182,332,Georgia,Jackson,,,,,,,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Accept limited books,7
Jefferson CCI,38.86456,-77.18776,333,Georgia,Jefferson,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
FCI Jessup,31.563971,-81.902147,334,Georgia,Jesup,"White paper wrap ONLY, no plastic, no colored/manila env.",,,No Composition Books,No sharpie/marker,"white paper wrap only, no plastic, no colored/manila env.",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,5
Troup County Correctional ,33.04068,-85.030494,335,Georgia,LaGrange,,no prior approval,no books on tattoos,,"no violence, no sex",,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No limit on books,No limit on books
Gwinnett County Jail,33.982762,-83.978055,336,Georgia,Lawrenceville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Lee State Prison,31.76463,-84.19258,337,Georgia,Leesburg,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Long State Prison,9.255596,29.795189,339,Georgia,Ludowici,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Bibb County Jail,32.829018,-83.637062,340,Georgia,Macon,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Central State Prison,32.776984,-83.751936,341,Georgia,Macon,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
CCADC,-25.514335,-49.243369,342,Georgia,Marietta,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Jenkins Corr. Ctr.,-33.756211,150.737685,343,Georgia,Millen,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Riverbend Corr. Facility,33.08473,-83.230953,344,Georgia,Milledgeville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Calhoun State Prison,31.539721,-84.616819,345,Georgia,Morgan,,Paid Book Receipt,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No limit on books,No limit on books
Montgomery State Prison,32.161175,-82.568386,346,Georgia,Mt Vernon,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Coffee Correctional ,31.53135,-82.63724,347,Georgia,Nicholls,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Wayne State Prison,31.674355,-82.119991,349,Georgia,Odum,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Macon State Prison,32.259653,-84.091571,350,Georgia,Oglethorpe,,,no Large books,,,,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,3
Autry State Prison,31.189182,-84.144879,351,Georgia,Pelham,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Georgia State Prison,32.00436,-82.16449,352,Georgia,Pelham,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Georgia State Prison,32.00436,-82.16449,354,Georgia,Reidsville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Georgia State Prison,32.00436,-82.16449,352,Georgia,Pelham,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Georgia State Prison,32.00436,-82.16449,354,Georgia,Reidsville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Brooks County Jail,30.787402,-83.547509,353,Georgia,Quitman,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Floyd County Prison,34.2198,-85.20024,357,Georgia,Rome,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Costal TC,8.738585,76.701411,358,Georgia,Savannah,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Hancock State Prison,33.245893,-82.95079,359,Georgia,Sparta,,,,,,,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,8
Thomas County,35.882388,-80.080082,360,Georgia,Thomasville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Hays State,34.507205,-85.311447,361,Georgia,Trion,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Dooly State Prison,32.280936,-83.716157,362,Georgia,Unadilla,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Lowndes State Prison ,9.255596,29.795189,363,Georgia,Valdosta,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Ware State Prison,31.257013,-82.393677,366,Georgia,Waycross,,,,,,,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,4
Johnson State Prison,32.743456,-82.702589,367,Georgia,Wrightsville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Halawa Correctional ,21.381902,-157.914162,368,Hawaii,Aiea,Books Not Allowed,,,,,books not allowed,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Honolulu,21.40572,-157.789396,369,Hawaii,Honolulu,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Idah,7.10651,6.73415,370,Hawaii,Idah,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Idaho Correctional Center (ICC) - CCA / ICC/ Idaho State Correctional Center (ISCC),43.471198,-116.237973,371,Idaho,Boise,,,,No Sex,No Violence,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Idaho Maximum Security (IMSI),43.828936,-115.833743,372,Idaho,Boise,,,,No Sex,No Violence,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Idaho State Correctional (ISCI),43.828936,-115.833743,373,Idaho,Boise,"PO Box 14 (mailing) / 13500 S. Pleasant Valley Rd, Kuna, ID 83634 (physical)",,,No Sex,No Violence,"po box 14 (mailing) / 13500 s. pleasant valley rd, kuna, id 83634 (physical)",9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
South Boise Women's Correctional ,43.481591,-116.230179,374,Idaho,Boise,,,,No Sex,No Violence,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
South Idaho Correctional (SICI),-12.819233,-50.657067,375,Idaho,Boise,,,,No Sex,No Violence,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
ADA CJ,43.458474,-116.23593,376,Idaho,Boise,,,,No Sex,No Violence,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Mini Cassia Criminal Justice Center,32.816329,-96.950672,377,Idaho,Burley,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
North Idaho Correctional ,38.309137,-101.328273,378,Idaho,Cottonwood,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Idaho Correctional ,46.491783,-116.260744,382,Idaho,Orofino,,,,,,,9999,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Pocatello Women's Correctional ,42.847414,-112.447479,383,Idaho,Pocatello,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
St. Anthony Work Camp,44.394758,-72.027948,384,Idaho,St. Anthony,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No limit on books,No limit on books
Chain O'Lakes Correctional ,41.337469,-85.353101,385,Indiana,Albion,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Anamosa,42.111254,-91.280263,386,Indiana,Anamosa,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Miami Correctional ,40.645575,-86.134298,387,Indiana,Bunker Hill,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Branchville Correctional Facility,38.151788,-86.600021,388,Indiana,Branchville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Wabash Valley Correctional ,39.467881,-87.396129,389,Indiana,Carlisle,,,,,,,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
4th St Jail,39.270288,-77.637423,390,Indiana,Connersville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Atterbury & Edinburgh Correctional,40.06088,-89.92372,391,Indiana,Edinburgh,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Elkhart County Correction ,41.597228,-85.858811,392,Indiana,Elkhart,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Putnamville Correctional ,39.565179,-86.886598,393,Indiana,Greencastle,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Henryville Correctional ,38.540759,-85.764423,394,Indiana,Henryville,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Indiana Women's Prison,39.80142,-86.292,397,Indiana,Indianapolis,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Lagrange County Jail,41.642627,-85.426487,398,Indiana,Lagrange,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Medaryville Correctional ,41.080588,-86.890388,400,Indiana,Medaryville,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Indiana State Prison,41.703416,-86.917339,401,Indiana,Michigan City,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Lakeside Correctional ,41.701341,-86.917754,402,Indiana,Michigan City,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
New Castle Correctional ,39.962623,-85.370935,403,Indiana,New Castle,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Pendleton Correctional / Correctional Industrial ,39.982605,-85.759773,405,Indiana,Pendleton,,VERY restrictive,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Plainfield Correctional ,39.69107,-86.41674,406,Indiana,Plainfield,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Reception Diagnostic Center,37.519323,-77.571774,407,Indiana,Plainfield,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
South Bend Work Release,41.666386,-86.267592,410,Indiana,South Bend,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
FCI (PO Box 33),38.524075,-90.203902,411,Indiana,Terre Haute,,,,No Magazines,,,9999,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No limit on books,No limit on books
US Penitentiary (PO Box 12015),48.998589,-122.265658,412,Indiana,Terre Haute,,,,No Magazines,,,9999,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No limit on books,No limit on books
Wigo County Jail ( 2001 Cherry St),39.467566,-87.383705,413,Indiana,Terre Haute,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Porter County Jail,41.46615,-87.05947,414,Indiana,Valparaiso,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Daviess County Security Center,38.862455,-86.482328,415,Indiana,Washington,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Maximum Control ,46.987251,28.858186,416,Indiana,Westville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Anamosa State Penitentiary,42.111263,-91.290241,417,Iowa,Anamosa,,,,No Composition books,Updated w/Nicki in the mail room 12-2-21 mike,,9999,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No limit on books,No limit on books
