FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,color_v2,,
Florence Globe,43.779175,11.249456,66,Arizona,Globe,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Complex Detention,40.68922,-73.989522,67,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Complex Minors,47.680014,-55.431362,68,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Lumley Unit,43.779175,11.249456,69,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Piestewa Unit,43.779175,11.249456,70,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence San Carlos Unit,43.779175,11.249456,71,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence San Pedro Unit,43.779175,11.249456,72,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Santa Cruz Unit,43.779175,11.249456,73,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Santa Maria Unit,43.779175,11.249456,74,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Santa Rosa Unit,43.779175,11.249456,75,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Special Management,43.779175,11.249456,76,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Womens Treatment,43.779175,11.249456,77,Arizona,Goodyear,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Navajo County Jail ,35.367143,-110.312547,78,Arizona,Holbrook,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
KIngman Cerbat Unit,37.64585,-98.11367,79,Arizona,Kingman,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Kingman Hualapai Unit,37.64585,-98.11367,80,Arizona,Kingman,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
